name,state,city,category,rating,entry_fee,visit_duration,best_time,id,image_url,latitude,longitude,activities,hidden_gems,nearest_airport,nearest_railway,cuisine,safety_rating,search_tags
India Gate,Delhi,Delhi,War Memorial,4.6,0.0,0.5,Evening,india_gate_delhi_delhi,https://upload.wikimedia.org/wikipedia/commons/thumb/9/99/India_Gate_on_the_evening_of_77th_Independence_day.jpg/640px-India_Gate_on_the_evening_of_77th_Independence_day.jpg,28.614239,77.23296,,,,,,8.0,"['delhi', 'evening', 'india gate', 'war memorial']"
Humayun's Tomb,Delhi,Delhi,Tomb,4.5,30.0,2.0,Afternoon,humayun_s_tomb_delhi_delhi,https://whc.unesco.org/uploads/thumbs/site_0232_0005-750-750-20210425155601.jpg,28.593539,77.245904,,,,,,8.0,"['afternoon', 'delhi', ""humayun's tomb"", 'tomb']"
Akshardham Temple,Delhi,Delhi,Temple,4.6,60.0,5.0,Afternoon,akshardham__delhi_delhi,https://i0.wp.com/singhruby.com/wp-content/uploads/2016/01/akshardham_facts_and_figure_banner.jpg,,,,,,,,8.0,"['afternoon', 'akshardham temple', 'delhi', 'temple']"
Waste to Wonder Park,Delhi,Delhi,Theme Park,4.1,50.0,2.0,Evening,waste_to_wonder__delhi_delhi,https://dynamic-media-cdn.tripadvisor.com/media/photo-o/16/aa/20/2c/made-by-cupboard-sheets.jpg?w=1200&h=-1&s=1,,,,,,,,8.0,"['delhi', 'evening', 'theme park', 'waste to wonder park']"
Jantar Mantar,Delhi,Delhi,Observatory,4.2,15.0,2.0,Morning,jantar_mantar_delhi_delhi,https://upload.wikimedia.org/wikipedia/commons/b/b8/Jantar_Mantar%2C_New_Delhi_%28Misra_Yantra%29.jpg,26.924562,75.82415900000001,,,,,,8.0,"['delhi', 'jantar mantar', 'morning', 'observatory']"
Chandni Chowk,Delhi,Delhi,Market,4.2,0.0,3.0,Afternoon,chandni_chowk_delhi_delhi,"https://media.cnn.com/api/v1/images/stellar/prod/gurudwara-sis-ganj-and-the-golden-mosque-next-to-it.jpg?c=16x9&q=h_833,w_1480,c_fill",,,,,,,,8.0,"['afternoon', 'chandni chowk', 'delhi', 'market']"
Lotus Temple,Delhi,Delhi,Temple,4.5,0.0,1.0,Evening,lotus__delhi_delhi,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/LotusDelhi.jpg/800px-LotusDelhi.jpg,28.550959,77.25966299999999,,,,,,8.0,"['delhi', 'evening', 'lotus temple', 'temple']"
Red Fort,Delhi,Delhi,Fort,4.5,35.0,2.0,Afternoon,red__delhi_delhi,https://cdn.britannica.com/20/189820-050-D650A54D/Red-Fort-Old-Delhi-India.jpg,28.65386,77.243152,,,,,,8.0,"['afternoon', 'delhi', 'fort', 'red fort']"
Agrasen ki Baoli,Delhi,Delhi,Stepwell,4.2,0.0,1.0,Afternoon,agrasen_ki_baoli_delhi_delhi,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cc/Agrasen_ki_Baoli%2C_New_Delhi%2C_India_-_20070127.jpg/800px-Agrasen_ki_Baoli%2C_New_Delhi%2C_India_-_20070127.jpg,,,,,,,,8.0,"['afternoon', 'agrasen ki baoli', 'delhi', 'stepwell']"
Sunder Nursery,Delhi,Delhi,Park,4.6,0.0,2.0,Afternoon,sunder_nursery_delhi_delhi,https://upload.wikimedia.org/wikipedia/commons/thumb/0/0d/Sunder_Nursery_Sep-2019.jpg/1200px-Sunder_Nursery_Sep-2019.jpg,,,,,,,,8.0,"['afternoon', 'delhi', 'park', 'sunder nursery']"
